Bank Name,As of,Instrument Type,Listing Date,Last Traded Price,Change Price,Change Percentage,Total Traded Quantity,Total Trades,Previous Day Close Price,High Price / Low Price,52 Week High / 52 Week Low,Open Price,Close Price*,Total Listed Shares,Total Paid up Value,Market Capitalization,Notes
Nabil Bank Limited (NABIL),"Sep 30, 2021",Equity ( EQ ),"Jul 25, 2007","1,413.00",5.00,(0.36%),"9,038",136,"1,408.00","1,419.00 / 1,411.00","1,560.00 / 817.00","1,413.00",0,"138,444,512","13,844,450,304.00","194,929,872,896.00",*NOTE: Close Price will be calculated after market close.
Nepal Investment Bank Limited (NIB),"Sep 30, 2021",Equity ( EQ ),"Jul 23, 2017",460.00,0.00,(0.00%),0,0,460.00,460.00 / 460.00,557.00 / 411.00,460.00,0,"162,573,295","16,257,329,500.00","74,783,715,700.00",*NOTE: Close Price will be calculated after market close.
