Bank Name,As of,Instrument Type,Listing Date,Last Traded Price,Change Price,Change Percentage,Total Traded Quantity,Total Trades,Previous Day Close Price,High Price / Low Price,52 Week High / 52 Week Low,Open Price,Close Price*,Total Listed Shares,Total Paid up Value,Market Capitalization,Notes
 (),,/,/,,,,*NOTE: Close Price will be calculated after market close.,,,,,,,,,,
Nepal Investment Bank Limited (NIB),"Oct 5, 2021",Equity ( EQ ),"Jul 23, 2017",460.00,0.00,(0.00%),0,0,460.00,460.00 / 460.00,557.00 / 411.00,460.00,460.00,"162,573,295","16,257,329,500.00","74,783,715,700.00",*NOTE: Close Price will be calculated after market close.
